Project_ID,Title,Acronym,Status,Start,End,Site,Organization,Authority,Responsible,Funder,Field,Material,DocumentedIn,Specific,Scope
ACTV_00006,Khmer Habitat Interpretation Centre,KHIC,Concluded,2006,2012,UNESCO_01,ORG_00001 ,NATB_00001,AUTH_KHNEAY,"NATB_00001, ORG_00172","Museology, Education, Ecology, Public Administration",,DEPARTMENT OF LAND PLANNING AND HABITAT MANAGEMENT IN THE ANGKOR PARK PROJECTS PROGRESS REPORT,,"Development and implementation of an alternative community-based cultural tourism hub and open-air eco-museum near the Banteay Kdei East Gate. Socio-economic safeguarding of local villagers, community-run sustainable farming infrastructure implementation, clean energy deployment, and interactive biodiversity and traditional Khmer habitat exhibition design."
ACTV_00017,Conservation and Restoration of the Northern Ancient Staircase,,"Ongoing	",2018,2027,UNESCO_02,NATB_00002,NATB_00002,AUTH_KOPUTH,ORG_00167,"Conservation Science, Art, Computer Science, Heritage Science","Brick, Stucco",Conservation and Restoration of the Northern Ancient Staircase Preah Vihear Temple (Phases I-IV: 2018-2024); Damage to the World Heritage Site of Preah Vihear Temple Caused by the Armed Conflicts,Preah Vihear,"Structural engineering, safety stabilization, and historical restoration of the northern monumental staircase (~2,400 steps) at the Preah Vihear Temple. Strengthening the foundational stone layers, restoring ancient rainwater drainage systems flanking the staircase, repairing and reassembling shattered stone railings, lions, and pearl sculptures, and addressing structural vulnerabilities on individual staircase tiers."
ACTV_00004,Ta Keo Project,TAKEO,Concluded,2006,2009,UNESCO_01,"ORG_00016, ORG_00018","NATB_00001, ORG_00100","AUTH_MAANDR, AUTH_OLVOLD, AUTH_FRVAUT",ORG_00018,"Architecture, Geotechnical Engineering, Conservation Science, Materials Science","Sandstone, Laterite",TA KEO Project: Setting up of climate monitoring devices and future research perspectives; Assessment of sandstone deterioration at Ta Keo temple (Angkor): first results and future prospects,"Ta Keo, Ta Nei","Site-specific research, deterioration assessment, monitoring and conservation support"
ACTV_00005,Greater Angkor Project,GAP,Concluded,1998,2014,UNESCO_01,"ORG_00136, ORG_00031","NATB_00001, ORG_00100","AUTH_ROFLET, AUTH_CHPOTT, AUTH_DAEVAN, AUTH_DOOREI",ORG_00164,"Archaeology, Geography, Remote Sensing, Water Resources","Sandstone, Laterite, Brick, Earth, Ceramics","GREATER ANGKOR PROJECT 2002 – 2005 PRELIMINARY REPORTS SERIES; A comprehensive archaeological map of the world's largest preindustrial settlement complex at Angkor, Cambodia; REDEFINING ANGKOR: STRUCTURE AND ENVIRONMENT IN THE LARGEST LOW DENSITY URBAN COMPLEX OF THE PRE-INDUSTRIAL WORLD",,Regional archaeological research and landscape-scale urbanism study
ACTV_00007,Ta Prohm Project,TAPROHM,"Ongoing	",2004,Present,UNESCO_01,ORG_00162,NATB_00001,AUTH_SISOOD,ORG_00169,"Conservation Science, Architecture, Botany, Geotechnical Engineering","Sandstone, Laterite, Brick",Ta Prohm Temple; Conservation  and  restoration  of  the Hall  of  Dancers  and  new  discoveries,Ta Phrom,"Site-specific conservation, archaeological documentation, and structural restoration"
ACTV_00015,Cambodia Japan Sambor Prei Kuk Conservation Project,CJSCP,Concluded,2018,2024,UNESCO_03,ORG_00147,NATB_00003,AUTH_TANAKA,ORG_00155,"Architecture, Conservation Science, Remote Sensing, Materials Science","Brick, Laterite","Geographical Survey of Sambor Prei Kuk; Damage Assessment and Guidelines for Restoration Methods of Ancient Brick Structures at Sambor Prei Kuk, Cambodia; ","Temple N7, N8, N10, N12, N13 and M90, Prasat   Sambor (N), Prasat Yeai Poeun, Prasat Tao","Structural stabilization, architectural restoration, and long-term archaeological conservation of the 7th-century pre-Angkorian brick temple complexes and sanctuary towers within the Sambor Prei Kuk UNESCO World Heritage site.Emergency bracing and stabilization of tilting brick masonry, removal of invasive root systems, formulaic replication and testing of historic lime mortars, brick surface consolidation, continuous environmental moisture monitoring, and three-dimensional digital laser scanning of early architectural reliefs."
ACTV_00003,Japan-APSARA for Safeguarding Angkor,JASA,"Ongoing	",1994,Present,"UNESCO_01, UNESCO_04",ORG_00147,"NATB_00001, ORG_00100",AUTH_TANAKA,ORG_00155,"Architecture, Geotechnical Engineering, Conservation Science, Geochemistry","Sandstone, Laterite",Construction sequence of the Koh Ker monuments in Cambodia deduced from the chemical composition and magnetic susceptibility of its laterites; Religious concept in the layout of the ancient Khmer city of Koh Ker; The Master Plan for the Conservation & Restoration of the Bayon Complex,"Bayon, Prasat Thom Prang","Dismantling of temples, block consolidation, architectural stabilization."
ACTV_00013,Angkor Inscriptions Survey,AIS,"Ongoing	",2007,Present,"UNESCO_01, UNESCO_04",ORG_00157,NATB_00001,AUTH_THMAXW,"ORG_00170, ORG_00157","Epigraphy, Philology, History, Digital Humanities",Sandtone,Angkor Inscriptions Survey Report ; A NEW KHMER AND SANSKRIT INSCRIPTION AT BANTEAY CHMAR,"Prasat Kravan, Neang Khmau, Banteay Chmar","Comprehensive field documentation, epigraphic rubbings, and philological analysis of historical inscriptions"
ACTV_00008,Banteay Srei Conservation Project,BSCP,Concluded,2002,2005,UNESCO_01,ORG_00115,NATB_00001,AUTH_UESALZ,"ORG_00165, NATB_00001","Conservation Science, Architecture, Geochemistry, Materials Science","Sandstone, Laterite, Brick",ICC Activity Report 2005,Banteay Srei,"Integrated conservation, restoration, site management, and visitor-flow control project"
ACTV_00020,"Conservation and Restoration of Gopura I, II, III",,Concluded,2014,2023,UNESCO_02,ORG_00161,NATB_00002,AUTH_ZHYE,ORG_00168,"Architecture, Geotechnical Engineering, Conservation Science, Water Resources",Sandstone,Damage to the World Heritage Site of Preah Vihear Temple Caused by the Armed Conflicts,Preah Vihear,"Long-term structural preservation, archaeological engineering, and systemic damage mitigation of the first three monumental entrance pavilions (Gopuras I, II, and III) at the Preah Vihear Temple. Comprehensive structural risk assessment, mapping and documentation of stone decay, structural stabilization of vaulted stone lintels and pediments, masonry block consolidation, and urgent post-conflict structural rescue/reinforcement."
